the,ðә
stoplight,"'stɒplait"
defenseman,"di'fensmәn"
playhouse,"'pleihaus"
toothless,"'tu:θlis"
prussian,"'prʌʃәn"
incubate,"'inkjubeit"
porridge,"'pɒ:ridʒ"
solstice,"'sɒlstis"
monochrome,"'mɒnәkrәum"
crisply,krɪsplɪ
pi,pai
glower,"'glәuә"
slicker,"'slikә"
jellyfish,"'dʒelifiʃ"
plural,"'pluәrәl"
overdrive,".әuvә'draiv"
cognizant,"'kɒgnizәnt"
mete,mi:t
curvature,"'kә:vәtʃә"
keel,ki:l
scuffle,"'skʌfl"
polygamy,"pә'ligәmi"
telecast,"'telikɑ:st"
renown,"ri'naun"
bloodied,ˈblʌdid
perplexed,"pә'plekst"
hauler,"'hɔ:lә"
premarital,"pri:'mæritl"
patrolman,"pә'trәulmәn"
pilings,ˈpailiŋz
gooey,"'gu:i"
perforation,".pә:fә'reiʃәn"
unbeaten,".ʌn'bi:tn"
welt,welt
lifelike,"'laiflaik"
overrated,ˌəʊvəˈreɪtid
redefinition,".ri:defi'niʃәn"
pinched,"'pintʃt"
oddball,"'ɒdbɒ:l"
ell,el
unmask,".ʌn'mɑ:sk"
dreamlike,"'dri:mlaik"
discriminating,"dis'krimineitiŋ"
salami,"sә'lɑ:mi"
sabine,"'sæbain"
defamation,".defә'meiʃәn"
implacable,"im'plækәbl"
romanticism,"rәu'mæntisizm"
endear,"in'diә"
checked,tʃekt
corkscrew,"'kɒ:kskru:"
sortie,"'sɒ:ti:"
cremate,"'kri:meit"
fucker,"'fʌkә"
staid,steid
internment,"in'tә:nmәnt"
dichotomous,"dai'kɒtәmәs"
buttered,ˈbʌtəd
yardage,"'jɑ:didʒ"
dislocate,"'dislәukeit"
sulk,sʌlk
godmother,"'gɒdmʌðә"
quill,kwil
kindred,"'kindrid"
psychopathology,".saikәupә'θɒlәdʒi"
industrious,"in'dʌstriәs"
wearing,"'wєәriŋ"
amphetamine,"æm'fetәmi:n"
repudiation,"ri.pju:di'eiʃәn"
rockfish,"'rɒkfiʃ"
salience,"'seiliәns"
registrar,"'redʒistrɑ:"
governorship,"'^ʌvənәʃip"
energetically,".enә'dʒetikәli"
moslem,"'mɒzlәm"
dilution,"dai'lju:ʃәn, di'l-"
unplugged,"ˌʌn'plʌɡd"
disgraceful,"dis'greisful"
newness,"'nju:nis"
repute,"ri'pju:t"
sax,sæks
hereby,"hiә'bai"
coddle,"'kɒdl"
dyad,"'daiæd"
malignancy,"mә'lignәnsi"
headless,"'hedlis"
nonsignificant,"'nɔnsi^'nifikәnt"
bide,baid
docket,"'dɒkit"
servitude,"'sә:vitju:d"
granny,"'^ræni"
realtor,"'riәltә"
priestess,"'pri:stis"
superconducting,",sju:pәkәn'dʌktiŋ"
expedite,"'ekspidait"
annal,"'ænәl"
daybreak,"'deibreik"
mishandle,"mis'hændl"
occult,"ә'kʌlt"
rudely,"'ru:dli"
mammography,"mә'mɔ^rәfi"
polarized,"'pəʊləraɪzd"
untangle,".ʌn'tæŋgl"
canoeing,"kә'nu:iŋ"
florentine,"'flɒ:rәnti:n"
raptor,"'ræptә(r)"
fawn,fɒ:n
deciduous,"di'sidjuәs"
pushy,"'puʃi"
ream,ri:m
flattery,"'flætәri"
iguana,"i'gwɑ:nә"
fluidity,"flu:'iditi"
windbreaker,"'wind.breikә"
attentively,"ә'tentivli"
po,pәj
shaving,"'ʃeiviŋ"
descriptor,"dis'kriptә"
joystick,"'dʒɔi,stik"
ilk,ilk
girlish,"'gә:liʃ"
bot,bɔt
nicety,"'naisәti"
jetliner,"'dʒetlainә"
beholden,"bi'hәudәn"
vole,vәul
uproot,"ʌp'ru:t"
overuse,".әuvәr'ju:z"
spongy,"'spʌndʒi"
agribusiness,"'ægri.bizinis"
precipice,"'presipis"
adjudicate,"ә'dʒu:dikeit"
preventative,"pri'ventәtiv"
unhook,".ʌn'huk"
feverishly,"'fi:vәriʃli"
flemish,"'flemiʃ"
copier,"'kɔpiә"
comma,"'kɒmә"
firstborn,"'fә:st'bɒ:n"
oxidation,".ɒksi'deiʃәn"
synopsis,"si'nɒpsis"
snicker,"'snikә"
ringer,"'riŋә"
amorous,"'æmәrәs"
firebird,"'faiәbә:d"
normality,"nɒ:'mæliti"
poncho,"'pɒntʃәu"
pacify,"'pæsifai"
consultative,"kәn'sʌltәtiv"
spender,"'spendә"
perceptible,"pә'septibl"
picking,"'pikiŋ"
awed,ɔ:d
externality,".ekstә:'næliti"
inscribed,"in'skraibd"
sandbox,"'sændbɒks"
panicky,"'pæniki"
stirrup,"'stә:rәp"
generalizability,"dʒenərəlaɪzə'bɪlɪtɪ"
dumbfound,"dʌm'fajnd"
divisional,"di'viʒәnәl"
glassware,"'glɑ:swєә"
kitsch,kitʃ
apologist,"ә'pɒlәdʒist"
scaling,"'skeiliŋ"
climactic,"klai'mæktik"
fluttering,ˈflʌtərɪŋ
interlocutor,".intә'lɒkjutә"
tawny,"'tɒ:ni"
naw,nɔ:
muddle,"'mʌdl"
faltering,"'fɒ:ltәriŋ"
shunt,ʃʌnt
despondent,"di'spɒndәnt"
unsweetened,ˌʌnˈswi:tnd
docile,"'dәusail"
vendetta,"ven'detә"
contented,"kәn'tentid"
bookkeeping,"'bukki:piŋ"
impassive,"im'pæsiv"
peroxide,"pә'rɔksaid"
undeterred,"ʌndi'tә:d"
enforceable,"in'fɔ: sәbl"
nefarious,"ni'feәriәs"
inferno,"in'fә:nәu"
downwind,"'daun'wind"
steppe,step
intercut,",intә(:)'kʌt"
flexion,"'flekʃәn"
bodice,"'bɒdis"
undemocratic,"'ʌndemә'krætik"
mailman,"'meilmæn"
impeccably, -bli
echoing,"'ekәuiŋ"
immutable,"i'mju:tәbl"
punter,"'pʌntә"
cloudless,"'klaudlis"
regalia,"ri'geiljә"
gastric,"'gæstrik"
transitory,"'trænsitәri"
windblown,"'windblәun"
sprinkling,"'spriŋkliŋ"
lumbar,"'lʌmbә"
innovate,"'inәuveit"
contrived,"kәn'traivd"
moccasin,"'mɒkәsin"
intercede,".intә'si:d"
fanaticism,"fә'nætisizm"
dexterity,"dek'steriti"
whispered,"'wɪspəd"
implantation,".implɑ:n'teiʃәn"
promiscuity,".prɒmi'skju:iti"
uninvited,"'ʌnin'vaitid"
framing,"'freimiŋ"
rapprochement,"ræ'prɔʃmә:ŋ"
paintbrush,"'peintbrʌʃ"
chewy,"'tʃu:i"
colonizer,"'kɒlәnaizә"
cackle,"'kækl"
dissenting,"di'sentiŋ"
assay,"ә'sei"
bulwark,"'bʌlwәk"
crinkle,"'kriŋkl"
concerto,"kәn'tʃєәtәu"
naturalism,"'nætʃәrәlizm"
laminated,"'læmineitid"
opiate,"'әupiit"
stiletto,"sti'letәu"
leathery,"'leðәri"
goblin,"'gɒblin"
anesthesiologist,",ænis,θizi'ɔlәdʒist"
neuroscience,",njuәrәu'saiәns"
revamped,ri:ˈvæmpt
unattainable,".ʌnә'teinәbl"
prosciutto,"prә'ʃu:tәu"
undersea,"'ʌndәsi:"
adornment,"ә'dɒ:nmәnt"
altercation,".ɒ:ltә'keiʃәn"
billiards,"'biljәdz"
elizabethan,"i.lizә'bi:θәn"
stasis,"'steisis"
blackjack,"'blækdʒæk"
cheating,"'tʃi:tiŋ"
shortness,"'ʃɒ:tnis"
nix,niks
engraved,inˈɡreivd
python,"'paiθɒn"
keeping,"'ki:piŋ"
operationalize,",ɔpә'reiʃәnlaiz"
schoolmate,"'sku:lmeit"
isle,ail
ugh,"uh, ә:h"
shapely,"'ʃeipli"
coloration,"kʌlә'reiʃәn"
accost,"ә'kɒst"
wanton,"'wɒntәn"
randomize,"'rændәmaiz"
idiosyncrasy,".idiә'siŋkrәsi"
rigging,"'rigiŋ"
hacienda,".hæsi'endә"
fuzz,fʌz
newtonian,"nju:'tәuniәn"
sloth,slәuθ
keypad,"'ki:pæd"
arthritic,"ɑ:'θritik"
chowder,"'tʃaudә"
bucolic,"bju:'kɒlik"
pewter,"'pju:tә"
dogged,"'dɒgid"
bulimia,"bju:'limiә"
plaintive,"'pleintiv"
adulation,".ædju'leiʃәn"
prejudiced,"'predʒәdist"
hereafter,".hiәr'ɑ:ftә"
grudging,"'grʌdʒiŋ"
rematch,"'ri:'mætʃ"
portraiture,"'pɒ:tritʃә"
workbench,"'wә:kbentʃ"
intensified,inˈtensifaid
bridle,"'braidl"
overbearing,".әuvә'bєәriŋ"
headliner,"'hed,lainә(r)"
enlistment,"in'listmәnt"
threadbare,"'θredbeә"
provost,"'prɒvәst"
conscript,"'kɒnskript"
concourse,"'kɒŋkɒ:s"
jus,ʒju:s
nirvana,"nә:'vɑ:nә"
blasphemy,"'blæsfәmi"
numeral,"'nju:mәrәl"
irritability,".iritә'biliti"
comatose,"'kɒmәtәus"
riverbed,"'rivәbed"
evacuee,"i.vækju'i:"
prospectus,"prәs'pektәs"
opus,"'әupәs"
centralization,".sentrәlai'zeiʃәn"
trusty,"'trʌsti"
ruthlessly,"'ru:θləslɪ"
diatribe,"'daiәtraib"
exploited,iksˈplɔitid
resound,"ri'zaund"
dais,"'deiis"
breadwinner,"'bred.winә"
summarily,"'sʌmәrili"
bereaved,"bi'ri:vd"
constable,"'kʌnstәbl"
ordnance,"'ɒ:dnәns"
visage,"'vizidʒ"
reinvention,"ri:ɪn'venʃn"
nonmember,"'nɒnmembә"
denominational,"dinɔmi'neiʃәn(ә)l"
unoccupied,".ʌn'ɒkjupaid"
prologue,"'prәulɒ:g"
abomination,"ә.bɒmi'neiʃәn"
liquidation,".likwi'deiʃәn"
padre,"'pɑ:dri"
livid,"'livid"
quench,kwentʃ
unanimity,".ju:nә'nimiti"
handily,"'hændili"
airflow,"'єәflәu"
abdicate,"'æbdikeit"
plumb,plʌm
gent,dʒent
discounted,ˈdiskauntid
exclusivity,",eksklu:'siviti"
knotted,"'nɔtid"
preen,pri:n
courtier,"'kɒ:tjә"
psychopath,"'saikәpæθ"
neonatal,",ni:әu'neitәl"
personable,"'pә:snәbl"
postdoctoral,"pәust'dɒktәrәl"
perfunctory,"pә'fʌŋktәri"
shakespearean,"ʃeik'spiәriәn"
drumbeat,"'drʌmbi:t"
frat,fræt
counterweight,"'kauntәweit"
paragon,"'pærәgәn"
athleticism,"æθ'letisizm"
telescopic,"'teliskәupik"
estrangement,"i'streindʒmәnt"
brutalize,"'bru:tәlaiz"
joist,dʒɒist
posthumous,"'pɒstjumәs"
dutiful,"'dju:tiful"
upswing,"'ʌpswiŋ"
salaried,"'sælәrid"
banister,"'bænistә"
heiress,"'eәris"
granting,"ɡ'rɑ:ntɪŋ"
retroactive,".retrәu'æktiv"
catharsis,"kә'θɑ:sis"
recyclable,ˌri:ˈsaɪkləbl
hamster,"'hæmstә"
wintry,"'wintri"
understated,".ʌndә'steitid"
cajole,"kә'dʒәul"
ahold,"ә'hәjld"
enjoin,"in'dʒɒin"
melee,"me'lei"
jurisdictional,".dʒuәris'dikʃәnәl"
patter,"'pætә"
venous,"'vi:nәs"
unsubstantiated,"'ʌnsәb'stænʃieitid"
elixir,"i'liksә"
dentistry,"'dentistri"
expeditionary,".ekspi'diʃәnәri"
impregnate,"'impregneit"
rejected,riˈdʒektid
glade,gleid
unlicensed,".ʌn'laisnst"
sicilian,"si'siljәn, -liәn"
mangle,"'mæŋgl"
breather,"'bri:ðә"
imperious,"im'piәriәs"
muddled,"'mʌdld"
laziness,"'leizinis"
glib,glib
confection,"kәn'fekʃәn"
repose,"ri'pәuz"
conspiratorial,"kәn.spirә'tɒ:riәl"
calligraphy,"kә'ligrәfi"
unhappily,".ʌn'hæpili"
semicircle,"'semi.sә:kl"
prong,prɒŋ
crowning,"'krauniŋ"
stupidly,"'stju:pidli"
smoldering,"'sməʊdərɪŋ"
inter,"in'tә:"
conquering,ˈkɔŋkərɪŋ
sundae,"'sʌndi:"
splice,splais
oscillate,"'ɒsileit"
wrenching,"'rentʃiŋ"
antibacterial,".æntibæk'tiәriәl"
comprehensible,".kɒmpri'hensibl"
shouting,"'ʃajtiŋ"
prosaic,"prәu'zeiik"
technologist,"tek'nɒlәdʒist"
acrobat,"'ækrәbæt"
winch,wintʃ
consul,"'kɒnsәl"
dahlia,"'deiljә"
grandstand,"'grændstænd"
transpose,"træns'pәuz"
fedora,"fi'dɒ:rә"
chaise,ʃeiz
abode,"ә'bәud"
abscess,"'æbsis"
incapacitate,".inkә'pæsiteit"
firmness,"'fә:mnis"
laudable,"'lɒ:dәbl"
pansy,"'pænzi"
completeness,"kәm'pli:tnis"
stepson,"'stepsʌn"
collegial,"kә'li:dʒiәl"
precautionary,"pri'kɒ:ʃәnәri"
carnal,"'kɑ:nl"
anesthetic,".ænis'θetik"
blissfully,"'blɪsfəlɪ"
verifiable,"'verifaiәbl"
sniffle,"'snifl"
putty,"'pʌti"
horned,hɒ:nd
canary,"kә'nєәri"
bicyclist,"'baisiklist"
overpopulation,"әjvәpɔpjj'leiʃ(ә)n"
tux,tʌks
weatherman,"'weðәmæn"
commendable,"kә'mendәbl"
outcrop,"'autkrɒp"
relativistic,".relәti'vistik"
matriarch,"'meitriɑ:k"
unreported,",ʌnri'pɔ:tid"
faze,feiz
succinct,"sәk'siŋkt"
sledgehammer,"'sledʒ.hæmә"
lawlessness,"'lɔ:ləsnəs"
unjustly,"ˌʌn'dʒʌstlɪ"
weedy,"'wi:di"
buoyancy,"'bɔiәnsi"
airbag,"'eәbæ^"
canny,"'kæni"
sunspot,"'sʌnspɒt"
infantryman,"'infәntrimәn"
dredging,"'dredʒiŋ"
woodworking,"'wud.wә:kiŋ"
blending,"'blendiŋ"
gavel,"'gævәl"
polishing,"'pɔliʃiŋ"
porthole,"'pɒ:thәul"
corrode,"kә'rәud"
patsy,"'pætsi"
obediently,"әu'bi:diәntli"
bearable,"'bєәrәbl"
absenteeism,"æbsәn'ti:iz(ә)m"
conflate,"kәn'fleit"
copycat,"'kɒpikæt"
incinerate,"in'sinәreit"
alphabetical,".ælfә'betikәl"
degraded,"di'greidid"
cosmologist,"kɒz'mɒlәdʒist"
toxicology,".tɒksi'kɒlәdʒi"
businesswoman,"'bizniswjmæn"
illegitimacy,".ili'dʒitimәsi"
sharecropper,"'ʃєә.krɒpә"
bulbous,"'bʌlbәs"
toleration,".tɒlә'reiʃәn"
bolivian,"bә'liviәn"
providence,"'prɒvidәns"
reissue,".ri:'isju:"
heartburn,"'hɑ:tbә:n"
wherewithal,"'hwєәwiðɒ:l"
viewfinder,"'vju:.faindә"
prescriptive,"pri'skriptiv"
immorality,",imә'ræliti"
bedevil,"bi'devl"
plankton,"'plæŋktәn"
dinnertime,"'dɪnərtaɪm"
philosophic,",filә'sɔfik"
lifeblood,"'laifblʌd"
tailgate,"'teilgeit"
subspecies,"'sʌb.spi:ʃi:z"
demonstrated,ˈdemənstreitid
pressed,prest
commuting,"kә'mju:tiŋ"
distinctiveness,"dɪ'stɪŋktɪvnɪs"
newsworthy,"'nju:zwә:ði"
romp,rɒmp
slurp,slә:p
disparaging,"dis'pæridʒiŋ"
sensitize,"'sensitaiz"
sentinel,"'sentinl"
crucifixion,",krusi'fikʃәn"
crucible,"'kru:sibl"
authentically,"ɒ:'θentikli"
facile,"'fæsil"
covariate,"kʌ'veərɪət"
caloric,"kә'lɒrik"
protruding,"prə'tru:diŋ"
fortuitous,"fɒ:'tju:itәs"
pinky,"'piŋki"
lien,"'li:әn"
fermentation,",fә:men'teiʃәn"
storehouse,"'stɒ:haus"
meanness,"'mi:nnis"
featureless,"'fi:tʃәlis"
endpoint,"'end.pɔint"
maelstrom,"'meilstrәm"
mercilessly,"'mɜ:sɪləslɪ"
phenomenological,"fi.nɒminә'lɒdʒikl"
incubation,".inkju'beiʃәn"
brocade,"brәu'keid"
litigant,"'litigәnt"
revile,"ri'vail"
shading,"'ʃeidiŋ"
demarcation,".di:mɑ:'keiʃәn"
sodomy,"'sɔdәmi"
electrolyte,"i'lektrәlait"
weighing,"'weiiŋ"
undergrowth,"'ʌndәgrәuθ"
procreation,".prәukri'eiʃәn"
endoscopic,"en,dɔs'kɔpik"
ponderous,"'pɒndәrәs"
aneurysm,"'ænjuәrizm"
jest,dʒest
educationally,".edju'keiʃәnli"
conservator,"'kɒnsәveitә"
airlift,"'єәlift"
pusher,"'puʃә"
laundromat,"'lɑ:ndrә,mæt, lɔ:n-"
unrestrained,".ʌnri'streind"
biodegradable,".baiәudi'greidәbl"
earl,ә:l
yum,jʌm
urinal,"'juәrinl"
incompatibility,"'inkәm,pætә'biliti"
appeasement,"ә'pi:zmәnt"
counterintuitive,",kajntәrin'tju:itiv"
crappie,"'kræpi"
culpability,".kʌlpә'biliti"
confetti,"kәn'feti"
mountaineering,".maunti'niәriŋ"
encrust,"in'krʌst"
sanitize,"'sænitaiz"
imprecise,".impri'saiz"
sedate,"si'deit"
weevil,"'wi:vil"
salvo,"'sælvәu"
howdy,"'haudi"
clammy,"'klæmi"
playboy,"'pleibɒi"
spectroscopy,"spek'trɒskәpi"
sawmill,"'sɒ:mil"
ravenous,"'rævinәs"
lass,læs
quadriceps,"'kwɒdriseps"
dividing,"di'vaidiŋ"
archery,"'ɑ:tʃәri"
beaming,"'bi:miŋ"
glum,glʌm
animator,"'ænimeitә"
efficacious,".efi'keiʃәs"
rotunda,"rәu'tʌndә"
interconnect,".intәkә'nekt"
fission,"'fiʃәn"
customarily,"'kʌstәmәrili"
disbelieve,".disbi'li:v"
holographic,",hɔlәu'^ræfik"
pediatrics,".pi:di'ætriks"
condescension,".kɒndi'senʃәn"
haughty,"'hɒ:ti"
ecclesial,"i'kli:ziәl"
proportionately,"prə'pɔ:ʃənətlɪ"
bovine,"'bәuvain"
vulgarity,"vʌl'gæriti"
debit,"'debit"
repairman,"ri'pєәmæn"
nationalization,".næʃәnәlai'zeiʃәn"
mariner,"'mærinә"
undershirt,"'ʌndәʃә:t"
thirdly,"'θә:dli"
biofuel,"baiәu'fju:әl"
waltz,wɒ:lts
mestizo,"me'sti:zәu"
slyly,"'slaili"
mag,mæ^
connective,"kә'nektiv"
phonics,"'fәuniks"
comptroller,"kәn'trәulә"
samaritan,"sә'mæritәn"
larval,"'lɑ:vәl"
hark,hɑ:k
convergent,"kәn'vә:dʒәnt"
haphazardly,".hæp'hæzәdli"
tangerine,".tændʒә'ri:n"
morass,"mә'ræs"
squish,skwiʃ
piggy,"'pigi"
hodgepodge,"'hɒdʒpɒdʒ"
ceaseless,"'si:slis"
retaliatory,"ri'tæliәtәri"
tacitly,"'tæsɪtlɪ"
minstrel,"'minstrәl"
machination,"mæki'neiʃәn"
excitation,".eksai'teiʃәn"
extort,"ik'stɒ:t"
workbook,"'w\\:kbjk"
recant,"ri'kænt"
analogue,"'ænәlɒg"
upend,"ʌp'end"
proselytize,"'prɒsilitaiz"
ewe,ju:
atheism,"'eiθiizm"
countess,"'kauntis"
tyrannical,"tai'rænikl"
togetherness,"tә'^eðәnis"
vaulted,"'vɒ:ltid"
manipulator,"mә'nipjuleitә"
kaleidoscope,"kә'laidәskәup"
stopped,stɔpt
lusty,"'lʌsti"
indiscretion,".indis'kreʃәn"
homophobic,",hɔmə'fəubik"
pricy,"'praisi"
haystack,"'heistæk"
feline,"'fi:lain"
pejorative,"'pi:dʒәreitiv"
prawn,prɒ:n
oxymoron,".ɒksi'mәurɒn"
bowman,"'bәumәn"
presumptuous,"pri'zʌmptʃuәs"
infuriating,ɪnˈfjʊərieɪtɪŋ
unfolding,"ʌn'fәuldiŋ"
unfocused,".ʌn'fәukәst"
conical,"'kɔnikәl"
disincentive,".disin'sentiv"
froth,frɒθ
changer,"'tʃeindʒә"
motivating,ˈməutiveitɪŋ
backlit,"'bæklit"
conflagration,".kɒnflә'greiʃәn"
marshall,"'mɑ:ʃәl"
commandant,".kɒmәn'dænt"
predominance,"pri'dɒminәns"
pow,pau
dorsal,"'dɒ:sәl"
scorched,skɔ:tʃt
cuss,kʌs
talisman,"'tælizmәn"
consequential,",kɔnsi'kwenʃәl"
collectibles,kəˈlektəbəlz
glasnost,"'glæsˌnəʊst"
elitism,"ei'litizm"
brisket,"'briskit"
commercialism,"k'm\\:ʃә'liz(ә)m"
drifter,"'driftә"
squalid,"'skwɒlid"
bookkeeper,"'bukki:pә"
prosocial,"prәj'sәjʃәl"
included,"in'klu:did"
coriander,",kɔri'ændә"
pervert,"pә:'vә:t"
obstetrics,"әb'stetriks"
secularist,"'sekjulәrist"
polyethylene,".pɒli'eθili:n"
inhumane,".inhju:'mein"
innards,"'inәdz"
unwashed,".ʌn'wɒʃt"
unnaturally,"ʌn'nætʃrəlɪ"
irreconcilable,"i'rekәnsailәbl"
rancor,"'ræŋkә"
schizophrenic,".skizәu'frenik"
undifferentiated,"'ʌn,difә'renʃieitid"
gaggle,"'gægl"
methanol,"'meθәnәul"
burgundy,"'bә:gәndi"
mentoring,ˈmenˌtɔ:ɪŋ
rationalism,"'ræʃәnәlizm"
gunship,"'gʌnʃip"
tectonic,"tek'tɒnik"
latrine,"lә'tri:n"
impale,"im'peil"
modus,"'mәudәs"
uneventful,".ʌni'ventful"
infallible,"in'fælәbl"
boxcar,"'bɒkskɑ:"
shoestring,"'ʃu:striŋ"
disgraced,"dɪs'greɪst"
trowel,"'trauәl"
exponent,"ik'spәunәnt"
beachfront,"'bi:tʃ,frʌnt"
retell,"ri:'tel"
darkening,"'dɑ:kәniŋ"
stabbing,"'stæbiŋ"
redemptive,"ri'demptiv"
functionary,"'fʌŋkʃәnәri"
seashell,"'si:ʃel"
realign,",riә'lain"
scrupulous,"'skru:pjulәs"
vane,vein
proportionate,"prә'pɒ:ʃәnit"
clank,klæŋk
simile,"'simili"
silica,"'silikә"
intensification,"in,tensifi'keiʃәn"
tress,tres
gaffe,gæf
middleman,"'midlmæn"
bloodshot,"'blʌdʃɒt"
subliminal,"sʌb'liminl"
granola,"ɡrә'nәulә"
overcrowd,".әuvә'kraud"
conscription,"kәn'skripʃәn"
hulk,hʌlk
outcropping,"aʊtk'rɒpɪŋ"
saxophonist,"sæk'sɔfәnist; 'sæksәfәj-"
regale,"ri'geil"
imperceptible,".impә'septibl"
spaniel,"'spænjәl"
scrounge,skraundʒ
waxy,"'wæksi"
intercultural,".intә'kʌltʃәrәl"
outboard,"'autbɒ:d"
doping,"'dәupiŋ"
prim,prim
exhilarated,ɪgˈzɪləˌreɪtid
goddam,ˈgɒddæm
workmanship,"'wә:kmәnʃip"
uninhabited,"'ʌnin'hæbitid"
thru,θru:
distilled,"dis'tild"
interdiction,".intә'dikʃәn"
spat,spæt
restful,"'restful"
returnee,"ri.tә:'ni:"
unreadable,"ʌn'ri:dәbl"
exploitative,"iks'plɔitәtiv"
naught,nɒ:t
entropy,"'entrәpi"
quibble,"'kwibl"
unadorned,"'ʌnә'dɔ:nd"
malign,"mә'lain"
deflation,"di'fleiʃәn"
possum,"'pɒsәm"
elegy,"'elidʒi"
baloney,"bә'lәuni"
chaste,tʃeist
hibernation,".haibә'neiʃәn"
imitator,"'imi,teitә"
ratty,"'ræti"
irrevocable,"i'revәkәbl"
shapeless,"'ʃeiplis"
tranquillity,"træŋ'kwɪlətɪ"
exerciser,"'eksәsaizә"
rangeland,"'reindʒlænd"
lifter,"'liftә"
decapitate,"di'kæpiteit"
trumpeter,"'trʌmpitә"
hereinafter,".hiәrin'ɑ:ftә"
debrief,"di:'bri:f"
ejection,"i'dʒekʃәn"
interconnected,",intəkə'nektid"
expressway,"ik'spreswei"
imperceptibly,".impә'septibli"
tracing,"'treisiŋ"
drumstick,"'drʌmstik"
duress,"djuә'reis"
programmable,"'prәugræmәbl"
squall,skwɒ:l
congestive,"kәn'dʒestiv"
tassel,"'tæsl"
sheepish,"'ʃi:piʃ"
starlet,"'stɑ:lit"
ode,әud
sinuous,"'sinjuәs"
harried,"'hærid"
reclamation,".reklә'meiʃәn"
tarpon,"'tɑ:pɒn"
shoals,ʃəʊlz
preheated,ˌpri:ˈhi:tid
messiah,"mә'saiә"
piecemeal,"'pi:smi:l"
attenuate,"ә'tenjueit"
diction,"'dikʃәn"
foretell,"fɒ:'tel"
expediency,"ik'spi:djәnsi"
flout,flaut
kleenex,"'kli:neks"
multiplier,"'mʌltiplaiә"
immaterial,".imә'tiәriәl"
scone,skәun
firehouse,"'faiәhaus"
mandarin,"'mændәrin"
roundly,"'raundli"
whimsy,"'hwimzi"
largesse,"lɑ:'dʒes"
charmer,"'tʃɑ:mә"
tuscan,"'tʌskәn"
lavatory,"'lævәtәri"
expedient,"ik'spi:diәnt"
monotone,"'mɒnәtәun"
saintly,"'seintli"
shah,ʃɑ:
suave,swɑ:v
modicum,"'mɒdikәm"
sandbar,"'sændbɑ:(r)"
solidity,"sә'liditi"
politico,"pә'litikәu"
aborted,"ә'bɒ:tid"
porcupine,"'pɒ:kjupain"
leer,liә
incarnate,"in'kɑ:neit"
scald,skɒ:ld
nonchalantly,"'nɒnʃələntlɪ"
antihistamine,".ænti'histәmi:n"
mugger,"'mʌgә"
bah,bɒ
ping,piŋ
ay,ai
cavort,"kә'vɒ:t"
whet,hwet
transformational,",trænsfә'meiʃәnәl,,trænz-,,trɑ:n-"
insistently,"ɪn'sɪstəntlɪ"
delirium,"di'liriәm"
staunchly,"'stɔ:ntʃli"
polyurethane,".pɒli'juriθein"
chickpea,"'tʃikpi:"
mercantile,"'mә:kәntail"
negotiable,"ni'gәuʃiәbl"
hunted,"'hʌntid"
rasp,ræsp
honduran,"hɔn'djuәrәn"
unflattering,"'ʌn'flætәriŋ"
galore,"gә'lɒ:"
disorientation,"dis.ɒ:rien'teiʃәn"
gargoyle,"'ɡɑ:ɡɔil"
adjudication,"ә.dʒu:di'keiʃәn"
unmet,"ʌn'met"
disjointed,"dis'dʒɔintid"
atrophy,"'ætrәfi"
nova,"'nәuvә"
subcontinent,"sʌb'kɒntinәnt"
penniless,"'penilis"
boxy,"'bɔksi"
workaholic,".wә:kә'hɒlik"
caddy,"'kædi"
braised,breɪzd
uncooperative,"'ʌnkәu'ɔpәrәtiv"
hydrant,"'haidrәnt"
disenfranchise,".disin'fræntʃaiz"
fractious,"'frækʃәs"
syndication,".sindi'keiʃәn"
rankle,"'ræŋkl"
stoneware,"'stәunwєә"
houseboat,"'hausbәut"
forklift,"'fɔ:klift"
legible,"'ledʒәbl"
telemarketer,",teli'mɑ:kitə"
individualize,",indi'vidjuәlaiz"
steamboat,"'sti:mbәut"
constipation,".kɒnsti'peiʃәn"
misshapen,".mis'ʃeipәn"
undoing,".ʌn'du:iŋ"
slanted,ˈslɑ:ntɪd
lollipop,"'lɒlipɒp"
ecotourism,ˈi:kəʊtʊərɪzəm
boa,"'bәuә"
viscous,"'viskәs"
refurbished,ri:ˈfɜ:bɪʃt
epitaph,"'epitɑ:f"
microscopy,"mai'krɒskәpi"
glaucoma,"glɒ:'kәumә"
rampart,"'ræmpɑ:t"
stabilizer,"'steibilaizә"
chartreuse,"ʃɑ:'trә:z"
atrocious,"ә'trәuʃәs"
henchman,"'hentʃmәn"
earthenware,"'ә:θәnweә"
lustrous,"'lʌstrәs"
rowboat,"'rәubәut"
thruster,"'θrʌstә"
incongruity,".inkɒŋ'gru:iti"
fiend,fi:nd
unsung,".ʌn'sʌŋ"
shrubbery,"'ʃrʌbәri"
insufficiently,"ˌɪnsə'fɪʃntlɪ"
unmoving,"'ʌn'mu:viŋ"
punishable,"'pʌniʃәbl"
glitz,glɪts
truism,"'tru:izm"
zillion,"'ziljәn"
eskimo,"'eskimәu"
haggard,"'hægәd"
mush,mʌʃ
petrochemical,".petrәu'kemikәl"
mil,mil
willpower,"'wilpauә"
venomous,"'venәmәs"
magma,"'mægmә"
showbiz,.ʃәubiz
flavored,ˈfleɪvəd
gestation,"dʒes'teiʃәn"
clunky,ˈklʌŋki
unmoved,".ʌn'mu:vd"
